Characteristic,Number of people in millions
2010,27.57
2011,28.57
2012,31.61
2013,35.89
2014,37.72
2015,38.88
2016,37.1
2017,38.3
2018,38.38
2019,37.16
2020,38.22
2021,39.21
2022,39.89
